player_id,player
478,Blaine Denning
479,Bob Lochmueller
480,Bob Naber
481,Bob Priddy
482,Bucky McConnell
483,Claude Overton
484,Danny Finn
485,Dick Bunt
486,Dick Groat
487,Dick Surhoff
488,Don Hanrahan
489,Don Henriksen
490,Eddie Miller
491,Gene Conley
492,Gene Rhodes
493,George McLeod
494,Jack McCloskey
495,Jack McMahon
496,Jim Baechtold
497,Jim Brasco
498,Jim Holstein
499,Jim Mooney
500,John O'Boyle
501,Mark Workman
502,Mike O'Neill
503,Mo Mahoney
504,Moe Radovich
505,Monk Meineke
506,Pete Darcey
507,Ralph Polson
508,Sherwin Raiken
509,Zeke Zawoluk
510,Al Roges
511,Bato Govedarica
512,Bill Bolger
513,Billy Kenville
514,Bob Houbregs
515,Bob Peterson
516,Clyde Lovellette
517,Connie Rea
518,Dick Knostman
519,Don Ackerman
520,Don Asmonga
521,Don Sunderlage
522,Ed Earle
523,Ed Smith
524,Ernie Barrett
525,Ernie Beck
526,Frank Reddout
527,Gene Dyker
528,George Yardley
529,Hal Uplinger
530,Irv Bemoras
531,Isaac Walthour
532,Jack George
533,Jack Molinas
534,Jim Fritsche
535,Jim Luisi
536,Jim Neal
537,Jim Phelan
538,Joe Smyth
539,Norm Grekin
540,Norm Swanson
541,Paul Nolen
542,Ray Felix
543,Rollen Hans
544,Walt Davis
545,Art Spoelstra
546,Bert Cook
547,Bob Carney
548,Bob Knight
549,Bob Pettit
550,Bobby Watson
551,Boris Nachamkin
552,Carl McNulty
553,Chuck Grigsby
554,Dan King
555,Dick Farley
556,Dick Rosenthal
557,Don Anielak
558,Ed Kalafat
559,Frank Ramsey
560,Frank Selvy
561,Fred Christ
562,Fred Diute
563,Gene Shue
564,George Dempsey
565,Herm Hedderick
566,Jack Turner
567,Jackie Moore
568,Jim Tucker
569,Ken McBride
570,Larry Costello
571,Mike Kearns
572,Phil Martin
573,Red Kerr
574,Red Morrison
575,Ronnie MacGilvray
576,Skippy Whitaker
577,Togo Palazzi
578,Tom Brennan
579,Tom Marshall
580,Al Ferrari
581,Bob Santini
582,Bob Schafer
583,Bob Williams
584,Chris Harris
585,Chuck Mencel
586,Chuck Noble
587,Corky Devlin
588,Dick Atha
589,Dick Garmaker
590,Dick Hemric
591,Dick Ricketts
592,Don Bielke
593,Ed Conlin
594,Ed Fleming
595,Jack Stephens
596,Jack Twyman
597,Jesse Arnelle
598,Jim Loscutoff
599,Johnny Horan
600,Kenny Sears
601,Larry Hennessy
602,Maurice Stokes
603,Med Park
604,Red Davis
605,Richie Regan
606,Ron Feiereisel
607,Tom Gola
608,Walter Dukes
609,Al Bianchi
610,Bill Russell
611,Bill Thieben
612,Bob Armstrong
613,Bob Burrow
614,Bob Hopkins
615,Cliff Hagan
616,Dave Piontek
617,Forest Able
618,Gary Bergen
619,Hal Lear
620,Jim Paxson
621,Jim Ray
622,Joe Holup
623,John Barber
624,Johnny McCarthy
625,Lou Tsioropoulos
626,Norm Stewart
627,Phil Jordon
628,Richie Guerin
629,Ron Shavlik
630,Ron Sobie
631,Si Green
632,Slick Leonard
633,Tom Heinsohn
634,Willie Naulls
635,Bill Ebben
636,Bo Erias
637,Brendan McCann
638,Charlie Tyra
639,Dick Duckett
640,Doug Bolstorff
641,George Brown
642,Guy Sparrow
643,Hot Rod Hundley
644,Jerry Paulson
645,Jim Krebs
646,Jim Walsh
647,Larry Friend
648,Lennie Rosenbluth
649,McCoy Ingram
650,Pat Dunn
651,Ray Radziszewski
652,Sam Jones
653,Win Wilfong
654,Woody Sauldsberry
655,Worthy Patterson
656,Andy Johnson
657,Archie Dees
658,Barney Cable
659,Bennie Swain
660,Boo Ellis
661,Bucky Bockhorn
662,Connie Dierking
663,Dave Gambee
664,Elgin Baylor
665,Guy Rodgers
666,Hal Greer
667,Hub Reed
668,Jack Parr
669,Jerry Bird
670,Jim Palmer
671,K.C. Jones
672,Larry Staverman
673,Mike Farmer
674,Pete Brennan
675,Phil Rollins
676,Shellie McMillon
677,Steve Hamilton
678,Tommy Kearns
679,Vern Hatton
680,Wayne Embry
681,Bailey Howell
682,Bob Anderegg
683,Bob Ferry
684,Bobby Smith
685,Cal Ramsey
686,Dick Barnett
687,Gary Alcorn
688,Gene Guarilia
689,Joe Ruklick
690,John Richter
691,Johnny Green
692,Maurice King
693,Nick Mantis
694,Rudy LaRusso
695,Tom Hawkins
696,Tony Windis
697,Wayne Stevens
698,Whitey Bell
699,Wilt Chamberlain
700,Al Attles
701,Bob Boozer
702,Bob McNeill
703,Darrall Imhoff
704,Dave Budd
705,Don Ohl
706,Fred LaCour
707,George Lee
708,Howie Jolliff
709,Jackie Moreland
710,Jerry West
711,Joe Roberts
712,Lenny Wilkens
713,Oscar Robertson
714,Pickles Kennedy
715,Ralph Davis
716,Ron Johnson
717,Swede Halbrook
718,Tom Sanders
719,Willie Jones
720,Adrian Smith
721,Al Butler
722,Bevo Nordmann
723,Bill Smith
724,Bob Sims
725,Bob Wiesenhahn
726,Chuck Osborne
727,Cleo Hill
728,Cleveland Buckner
729,Dave Zeller
730,Donnie Butcher
731,Doug Kistler
732,Ed Burton
733,Frank Radovich
734,Gary Phillips
735,George Blaney
736,George Bon Salle
